feature,mean_abs_shap
V4,0.6754371901012951
V14,0.5990964480259663
V8,0.4950114587320656
V12,0.36900944878889536
V15,0.32789321401677035
V11,0.3200439204683866
V6,0.250164347430047
V3,0.24818733449576552
V22,0.23061364683126256
V18,0.21927745724662628
V5,0.2159181270114606
V28,0.21352506038753105
V1,0.20673493525974931
V16,0.18884519918702203
Amount,0.1836925858300378
V21,0.18120250905500118
V10,0.1779191493557186
V26,0.1544274995534678
V2,0.1543028296548125
V27,0.15239910262377565
V7,0.14740379999846845
Hour,0.14618462868701834
V19,0.1395632858118732
V23,0.1392984414484372
Time,0.13803804870199973
V25,0.13767442714419045
hour_cos,0.13097871807521427
V13,0.12104282571391678
V17,0.11408390598844544
V20,0.1116637024582089
V24,0.08915915224881249
V9,0.08767253231568643
hour_sin,0.054612171891734035
Amount_log1p,0.031011129511528547
