feature,importance
V17,0.18179261806317024
V12,0.14525688711180545
V14,0.10077357020504037
V11,0.07657435500374542
V16,0.0751360390929523
V10,0.06302153346905018
V9,0.03889986418384213
V7,0.02816560118520447
V4,0.021275373988297475
V18,0.021088956215530794
V21,0.01985957358106094
V3,0.01681477013542189
V26,0.014321301491807232
V1,0.014001649360332918
V2,0.013709873096559615
V6,0.012032552958305387
V20,0.011545828147047592
V22,0.010940409955557657
V8,0.010556866316444502
V13,0.010386910379155711
V19,0.010175684429458773
V15,0.010172757449319754
hour_sin,0.010149861247681994
V27,0.008959891074693
V5,0.008761018118345775
Amount,0.008460694906223209
Amount_log1p,0.008360497930593038
Time,0.008327082921754596
V28,0.008049556251999697
V24,0.0077358603545781305
V25,0.007627944902453349
Hour,0.0064368693958269515
V23,0.005884399545072781
hour_cos,0.0047433475316667525
