,mi
V17,0.008258065520267088
V14,0.008136137025235302
V12,0.007601234689920022
V10,0.007530360334661479
V11,0.006831198639183911
V16,0.006144403260892828
V4,0.0049759285577390955
V3,0.00495192387987986
V18,0.004316925188113996
V9,0.004276691243076836
V7,0.003950652983924607
V2,0.0032280496386691837
V21,0.002452178490999213
V27,0.0024440724982736084
V5,0.002388941744006723
V6,0.0023877964471337165
V1,0.002126661345919767
Time,0.0019339420636488303
V8,0.0018984186387390745
V28,0.0018713214852924542
V19,0.0014724512954878977
Amount,0.0014326704946567848
V20,0.0012066591728019382
V23,0.0007615205277016202
V24,0.0006419884233297424
