feature,coef,abs_coef
Amount,2.367275745829571,2.367275745829571
V1,1.7238622831736765,1.7238622831736765
V14,-1.4949612413404203,1.4949612413404203
V4,1.3394307948194004,1.3394307948194004
V10,-1.3349964693136878,1.3349964693136878
V5,1.2143788840125764,1.2143788840125764
V12,-1.1278860067358982,1.1278860067358982
V16,-0.9963763350256619,0.9963763350256619
V17,-0.9921846482008209,0.9921846482008209
V2,0.9320753575258446,0.9320753575258446
V20,-0.9274688332191529,0.9274688332191529
V7,-0.8335702266899958,0.8335702266899958
V6,-0.6964937924760962,0.6964937924760962
V22,0.6023742109975319,0.6023742109975319
V8,-0.5833264316145169,0.5833264316145169
V9,-0.5294694516584926,0.5294694516584926
V11,0.5187150676831771,0.5187150676831771
V3,0.5057180423292056,0.5057180423292056
V13,-0.4695441431887449,0.4695441431887449
Time,-0.37476739629217354,0.37476739629217354
V28,0.3384639635075261,0.3384639635075261
V23,0.3084350575022781,0.3084350575022781
V18,-0.21717616239923118,0.21717616239923118
V19,0.20597290796205303,0.20597290796205303
V26,-0.16192761786248608,0.16192761786248608
V27,-0.15233965607469122,0.15233965607469122
V15,-0.13702885852359248,0.13702885852359248
V21,0.08710410402847041,0.08710410402847041
V25,-0.043274918279369086,0.043274918279369086
V24,-0.007833712033147706,0.007833712033147706
